question_id,question,answer,article_ids
q_00011,I forgot the password for my second Gmail account for business and Im not able to reset it. I have an admin account as well. Can you guide me on how to reset the password for my second Gmail account?,"To reset the password for your second Gmail account for business, you can follow these steps using your Google Workspace Admin account: 1. Sign in to your [Google Admin account](https://admin.google.com/). 2. Click on **Users** to view all users in your organization. 3. Hover over the user account for which you want to reset the password and click the **Reset password** icon. 4. You can choose to automatically generate a new password or manually enter a new password. 5. Click **Reset** to apply the changes. 6. Optionally, you can copy the new password to share it with the user or email it directly to them. For more detailed instructions, you can refer to the [Google Workspace: Resetting a Workspace User's Password](https://support.wix.com/en/article/google-workspace-troubleshooting-login-issues#resetting-a-users-password) guide. If you encounter any issues, ensure you are logged in with your admin account and have the necessary permissions to reset user passwords.",bec5870553814db329b6b83e73d059f0a42c2454b5bd4c4989b3b7110e29589c
q_00012,"I have created pages in the Wix editor, but they are not showing up on the live site even though I have hit publish. I have made sure the pages are not hidden and they are published, but they are still not showing up on the live site.","If your pages are not showing up on the live site even after publishing, here are some steps you can take to troubleshoot the issue: 1) If you are receiving any errors while publishing please review this [article](https://support.wix.com/en/article/wix-editor-publishing-issues) for more information. 2) Make sure you are using a supported browser. Outdated browsers can cause rendering issues. [Check supported browsers](https://support.wix.com/en/article/supported-browsers). 3) If the issue persists, use the [Wix Technical Assistant](https://support.wix.com/en/article/wix-technical-assistant) for further troubleshooting.",359dab9e725658fc9407e34714d19da1fda7a8cb8c85c5c141968dd3775de044;dd6385654e2bc9cc5fcaf350bc944449291fa2377a61e06052035a2f0605c5b5
q_00013,I have not received my payment in my bank account yet.,"If you have not received your payment in your bank account yet, there are several steps you can take to troubleshoot the issue: 1. **Check Verification Status**: Ensure that your Wix Payments account is successfully verified. Incomplete verification can delay payouts. You can learn more about the verification process [here](https://support.wix.com/en/article/wix-payments-verification-process). 2. **Review Bank Details**: Verify that the bank details associated with your Wix Payments account are correct. Incorrect bank details can cause payouts to fail. You can update your bank details by following the steps outlined [here](https://support.wix.com/en/article/failed-payout-in-wix-payments). 3. **Check Payout Schedule**: Confirm your payout schedule (daily, weekly, or monthly) and allow 3-5 business days for the funds to appear in your bank account after the payout is sent. More information on payout schedules can be found [here](https://support.wix.com/en/article/changing-your-wix-payments-payout-schedule). 4. **Look for Failed Payouts**: Check your Wix Payments dashboard for any failed payouts. If a payout has failed, it will be marked as 'Failed' and placed on hold until the issue is resolved. Instructions for resolving failed payouts are available [here](https://support.wix.com/en/article/failed-payout-in-wix-payments). 5. **Payouts on Hold**: If there is an issue blocking your payout, it may be on hold. You can view the reason for the hold and instructions for resolving it in your Wix Payments dashboard. More information on payouts on hold can be found [here](https://support.wix.com/en/article/payouts-on-hold). If you have checked all the above and still have not received your payment, consider reaching out to Wix support for further assistance.",9dbf43e1a13c691c4ac016af067a723ca51613c639d878f7c556dd1a1fbc3018;04997ca3b0a1736557e6895e2eecc51ccd581a1982afa647b5ebf835e68d4deb
q_00014,I need assistance with creating custom hours for a staff member in the work schedule.,"Creating custom hours for a staff member: You can change a staff members' working hours from the [Staff](https://manage.wix.com/account/site-selector/?actionUrl=https%3A%2F%2Fwww.wix.com%2Fdashboard%2F%7BmetaSiteId%7D%2Fbookings%2Fstaff%3FreferralInfo%3Dsidebar&title=Select+a+Site&primaryButtonText=Manage+Staff) tab in your site's dashboard, or from the Wix app on your mobile device. This is useful for creating recurring changes to a staff member's hours now, or in the future. When you create custom hours, it overrides your default hours for that staff member. Any changes you make to your default hours do not affect staff members' custom working hours. Desktop: 1. Go to Staff in your site's dashboard. 2. Hover over the relevant staff member and click Edit. 3. Click Add Working Hours. 4. Select a Start Date from the field provided. 5. (Optional) Click + Set end date to make the custom work hours temporary. 6. Click the Repeats drop-down and choose the relevant option. 7. Click to select all relevant days of the week that the custom hours apply to. 8. Enter the start and end times in the fields provided. 9. Choose the relevant location from the Location drop-down. 10. Click Save. Wix App: 1. Go to your site in the Wix app. 2. Tap Manage at the bottom. 3. Tap Booking Calendar. 4. Tap the Staff tab. 5. Tap to select an existing staff member. 6. Tap Add Hours next to Working Hours. 7. Tap Continue. 8. Tap to select the Start Date for the staff member's new work schedule. 9. (Optional) Tap + Set end date to make the change to the staff member's work schedule temporary. 10. Tap the Repeats drop-down to select how often your staff member works these hours. 11. Select the days the staff member is available to book. 12. Tap to select the Start Time. 13. Tap to select the End Time. 14. Tap to select the Location your staff member is available in. 15. Tap Save at the top.",2de6c16958d89aee79f3d5e8f44686b80d74cfccf56b02bd14fecf96663e3c06
q_00015,Can you help me understand how to enable guest checkout for my pricing plans on Wix?,"To enable guest checkout for your pricing plans on Wix, follow these steps: 1. Go to your site's dashboard and navigate to the Pricing Plans Settings. 2. Click on the 'Checkout' tab. 3. Enable the 'Guest Checkout' toggle to allow visitors to purchase plans without signing up or logging in. 4. Click 'Save' to apply the changes.",8309620f90a06cbd6b28930591ae59e9f479687ecac060543c69b26214815aab;3407d197c71652bee58835ba148794a8be7e70cf9e25c599044b823c82db29fd
q_00016,I need help managing the categories my booking services are in on my Wix website.,"To manage the categories for your booking services on your Wix website, you can follow these steps: **Creating categories** 1. Go to Booking Services in your site's dashboard. 2. Click Manage Categories. 3. Click + Add New Category. 4. Enter the Category Name. 5. Click Add to save. **Assigning a service to a category** 1. Go to Booking Services in your site's dashboard. 2. Select the service you want to assign to a category. 3. Click the Service category drop-down and choose the relevant category. 4. Click Save. **Reordering your services and categories** - To reorder services within a category: 1. Select a category from the drop-down at the top. 2. Click and hold the drag handle next to your services to drag and drop them into your preferred order. - To reorder categories: 1. Click Manage Categories at the top of the list. 2. Click and hold the drag handle next to your categories to drag and drop them into your preferred order. **Renaming categories** 1. Go to Booking Services in your site's dashboard. 2. Click Manage Categories. 3. Hover over the category you want to rename. 4. Click Edit Name. 5. Enter the new category name. 6. Click Save. **Deleting a category** 1. Go to Booking Services in your site's dashboard. 2. Click Manage Categories. 3. Hover over the relevant category. 4. Click Delete. 5. Choose to move services to another category or delete the category and its services.",9b71e0c1c1101d626c050e2209b382430c36eb91644c25dc9016802164ea769f;0edfb79224593e47a232c58687f04d0534cabe82e36a6af890f92830860b5b72
q_00017,How do I block off time slots in a staff schedule for a single staff member.,"To block off time slots in a staff schedule for a single staff member using Wix Bookings, you can follow these steps: 1. **Using the Wix Dashboard:** - Go to the [Booking Calendar](https://www.wix.com/my-account/site-selector/?buttonText=Open%20Business%20Calendar&title=Select%20a%20Site&autoSelectOnSingleSite=true&actionUrl=https://www.wix.com/dashboard/{{metaSiteId}}/bookings/scheduler/owner/calendar?referralInfo=sidebar) in your site's dashboard. - Click **Add** or select the time slot you wish to block off on the calendar. - Select **Blocked Time**. - Choose the staff member whose time you want to block from the **Staff** drop-down. - Enter a **Title** to explain the reason for the blocked time (optional). - Select a start and end date and time. - Add a note for yourself (optional). - Click **Block**. 2. **Using the Wix App:** - Open your site in the Wix app. - Tap **Manage** at the bottom. - Tap **Booking Calendar**. - Tap the **Add** icon. - Select **Blocked time**. - Add a title to your blocked time (optional). - Select a start and end date and time. - Add a note (optional). - Tap **Save**.",81815895cb357ab2acbf1da52c91beff481c88fe49d416c853b3fb88a4ae92ea
q_00018,How can I delete items from a CMS collection?,"To delete an item from your CMS collection: 1. Go to CMS in your site's dashboard. 2. Click the relevant collection. 3. Select the checkbox next to the item you want to delete. - Tip: To select multiple items at once, select the first item you want to delete, hold down the Shift key on your keyboard, and select the last item you want to delete. 4. Click Delete. 5. Click Delete to confirm. Note: Before deleting an item, make sure you don't have any dynamic pages or references in another collection connected to it, as once the item is deleted, these links or references will break.",7f365d820565efdc168e39938b16e965ea0e70a394eaac7e926078ec3b562ceb
q_00019,I need help with setting up two different emails on my website. One for receiving order invoices and the other for general inquiries. Im specifically looking for guidance on how to set the email address for order confirmations in the Business Info section of my sites settings.,"To set the email address for order confirmations in the Business Info section of your site's settings, follow these steps: 1. Go to the Business Info section of your site's settings. 2. Scroll down to the Location & Contact Info section. 3. Enter an email address in the Email field. For setting up additional business emails for different purposes, such as general inquiries, you can manage your incoming emails by setting up additional business email addresses for different parts of your company. If you own a company called Clothes by Wix, for example, and have the domain name clothesbywix.com, you can create more business emails for the different departments: info@clothesbywix.com, contact@clothesbywix.com, orders@clothesbywix.com, etc. To set up additional business emails, go to Business Email in your account, click Show User Info on the relevant account, click the More Actions icon next to the account you want to set up, select Set Up User, sign in to your Google Workspace account, enter your email address, click Next, enter your password, click Users, click Add new user, enter the user details and set a password (optional), and click Add.",8c2e56296ddb7b441238ff06cfa9b38204aca9e27371386689b1fa4643cdfbff
q_00020,I need to add funds to my Wix Payments account in order to issue a refund. Can you guide me on how to do this?,"To add funds to your Wix Payments account to process a refund [Go to Payments](https://www.wix.com/my-account/site-selector/?buttonText=Go%20to%20Your%20Transactions&title=Select%20a%20Site&autoSelectOnSingleSite=true&actionUrl=https:%2F%2Fwww.wix.com%2Fdashboard%2F%7B%7BmetaSiteId%7D%7D%2Fpayments-dashboard/?referralInfo=KB_Article) in your site's dashboard. Select the payment to refund. Click Refund. Enter the amount you wish to refund. (Optional) Add a note. Click Refund and confirm by clicking Yes, Refund. If you need to add funds to refund your customer: Click Add Funds & Complete Refund to add funds to your account. Enter your credit / debit card details and click Add Funds & Complete Refund.",c8a54de5b540e9832be6e6468b5e498d532df9ea6af16ae83fcdcd15647e4c73
q_00021,"I need to change my domain name to something that doesnt include ""DBT"" for legal reasons.","It is not possible to edit or modify a domain once purchased. When you register a domain name you reserve the letters or characters in that order. If you have already made the purchase, the only way to change the domain name is to [register a new domain](https://support.wix.com/en/article/purchasing-a-domain-from-wix-3133977). And you [turn the auto-renewal off](https://support.wix.com/en/article/canceling-a-wix-domain) for this domain, so once it expires and is released it is no longer active.",add129d0bc54006961811dd5065b2a69281974d794e372f68bc07c93696113dd
q_00022,How long will it take for my products to show up in a Wix Google Ads campaign?,"You should connect your [Google Mechant] (https://support.wix.com/en/article/wix-stores-adding-and-setting-up-google-merchant-solutions) account first and have your products approved there. In Google Merchant Solutions tab you can see an overview of the status of your products at the top of the page. All your products with the 'Live' status that are also set to 'Visible' in Google Merchant Solutions appear across Google's channels as part of your campaign. After you list your products on Google Merchant Solutions, it can take up to 72 hours for Google to approve them. Once you have the approved products, you can create your campaign, purchase a subscription and launch it. After that, you will be able to track your campaign's progress and metrics from the Google Ads with Wix dashboard.",0a229edfd466b96f849627494fb95e837c7c603cb7fdc5faeadef815a4d24804;035b36b995402d769a3117eb0ad63257a662e2eeef678b16ba740925985e7ef8
q_00023,I need to know how to change the order of my products.,"To reorder products on your site, go to the Categories tab in your site's dashboard. When you reorder products there, it changes the order on your site, wherever you display that category. 1. Go to [Categories](https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Categories&title=Select%20a%20Site&autoSelectOnSingleSite=true&actionUrl=https://www.wix.com/dashboard/{{metaSiteId}}/store/categories/list) in your site's dashboard. 2. Select the relevant category. 3. Click and drag the products to change the order. 4. Click Save. If you're using the Category Page, you can override the product order set in the dashboard by clicking the Category Page in your editor, then clicking **Settings** and selecting the **Sorting** tab to choose your preferred order. For more details, you can refer to the [Wix support article](https://support.wix.com/en/article/wix-stores-about-the-category-page).",b254fcee6b0ae875da5b74071a0d306ab6eabd8ec17634d257638716fb529809
q_00024,I need to know if more information is required for Wix payment verification status for my individual account.,"According to your account type, make sure you're providing the requested information correctly: Verification checklist for individual accounts: * Make sure you've written your personal information correctly: - Your first / middle / last name and your date of birth must match those listed in your photo ID. - Double check that you've entered your bank account number(s) correctly. Enter a physical address to verify your account. PO Boxes are not accepted as a valid address. - Upload an address verification document, such as a utility bill, to confirm your address. The document must have been issued within the last 6 months. * Add your Business Description: - Enter your Doing Business As name (The operating name of your business) - Use the dropdown menu to select your Business Type - Use the text box to add a short description of your products / services * Upload a color copy of your photo ID and a bank statement to verify your identity. [Learn More](https://support.wix.com/en/article/guidelines-for-uploading-documentation-for-wix-payments) * Allow 7 business days for the account to be verified. If 7 business days have already passed and you've verified the information is correct and matches your bank account details, contact [Wix Customer Care](https://support.wix.com/en/article/contacting-wix-customer-care-for-support). We will be happy to investigate this issue further.",49d9e88fadbf11fa4e685c847590078ff9394c2fe7566094f504f53ca4aca465
q_00025,I need to know if more information is required for Wix payment verification status for my business account.,"According to your account type, make sure you're providing the requested information correctly: Verification checklist for business accounts: * Make sure you've written your personal and company information correctly. - Your first / middle / last name and your date of birth, must match those listed in your photo ID. Double check that you've entered your bank account number(s) correctly. Your company's name and its registration number/tax ID must match the company's registered information. * Your Doing Business As name should match what appears on your customers' statements. * Enter a physical address to verify your account. PO Boxes are not accepted as a valid address. * Upload an address verification document, such as a utility bill, to confirm your address. The document must have been issued within the last 6 months. * Confirm that the Legal Business Name, Shareholder and VAT ID/Business ID/Tax ID/EIN entered in the form matches those associated with your business bank account. * Upload a document that proves the validity and ownership of the VAT ID/Business ID/Tax ID/EIN during registration. * Add your Business Description: - Use the dropdown menu to select your Business Type - Use the text box to add a short description of your products / services * Upload a color copy of your photo ID and bank statement to verify your identity. [Learn more](https://support.wix.com/en/article/guidelines-for-uploading-documentation-for-wix-payments). * Allow 7 business days for the account to be verified. If 7 business days have already passed and you've verified the information is correct and matches your bank account details, contact [Wix Customer Care](https://support.wix.com/en/article/contacting-wix-customer-care-for-support). We will be happy to investigate this issue further.",49d9e88fadbf11fa4e685c847590078ff9394c2fe7566094f504f53ca4aca465
q_00026,"I need to renew my Premium Business plan after missing the renewal notice. I couldnt find the subscription under my account, but I want to proceed with purchasing a new Premium plan for my site.","If your site plan was already canceled due to payment issues, you can simply purchase a new plan by upgrading the site again. Go to the Upgrade page. Click Select under the plan you want to purchase. Select a billing cycle for your plan and click Continue to Checkout. Enter your payment details. Review your total and click Submit Purchase. If you are unable to find the plan you're looking for, you might be looking in the wrong account. Our account email locator can help you find your account.",42494683352ccb36b16ef52dc0b32ff1aab64f5f3a6fe90827c33e0252a59098
q_00027,How can I restore some deleted products?,"Currently, it is not possible to restore a product after it has been deleted. If you want to temporarily remove products from your store, [you can hide them](https://support.wix.com/en/article/wix-stores-changing-the-visibility-of-a-product).",f353775648c196649a0cf3bf26ddea340192587efe7c0813b798325f1c412d9f
q_00028,Hoe can I restore the selection of projects for my Wix collection?,"Go to [CMS] (https://www.wix.com/my-account/site-selector/?buttonText=Open%20Content%20Manager&title=Select%20a%20Site&autoSelectOnSingleSite=true&actionUrl=https://www.wix.com/dashboard/%7B%7BmetaSiteId%7D%7D/database/) in your site's dashboard. Click More Actions at the top. Click Backups. Click Restore next to the backup you want to restore. Click the checkbox next to each collection you want to restore. Click Restore [#] Collections. Click Yes, I am sure to confirm you want to permanently override changes made after the backup creation date. Click Restore.",13ae20110f373b7614a4594a0b47cd190eaecba13c74138551ee24f682b43f08;0d6bacf2646098a55162336b12fc8eeb56c6618febc7ad94a9c7d5d9bb71ba3f
q_00029,How can I set up an automation for a clients birthday to send an email offering a free class?,"To do this, you first need to create a contacts segment that groups contacts by birthday. To create a segment: Go to [Contacts] (https://www.wix.com/my-account/site-selector/?buttonText=Manage%20Contacts&title=Select%20a%20site%20to%20update&actionUrl=https:%2F%2Fwww.wix.com%2Fmy-account%2Fsites%2F%7B%7BmetaSiteId%7D%7D%2Fcontacts) in your site's dashboard. Click the Segments tab. Click the + Create New drop-down and select Segment. Add a name for your segment to help you identify it later Select all the relevant filters that apply to this segment, or click + Add a Filter to create your first filter. Note: Add the filters one at a time. The more filters you add, the more specific the segment becomes. Create your filter by choosing an attribute, condition and value: Note: The options change depending on what you select. Choose an option from the Contact attribute or Contact activity list. Following the 'returning customer' example, we want to find all contacts who have previously spent money on the site. To find this we select 'total amount spent.' Click the Choose a condition drop-down to choose logic for your filter. The logic sets the rules for your segment. Click Create Segment. The new segment appears under Your segments. Then, create an automation using the Segments trigger set to trigger when a contact enters your birthday segment. To add a new automation: Go to [Automations] (https://www.wix.com/my-account/site-selector/?buttonText=Open%20Wix%20Automations&title=Select%20a%20Site&autoSelectOnSingleSite=true&actionUrl=https://www.wix.com/dashboard/{{metaSiteId}}/triggers/) in your site's dashboard. Click + New Automation in the top right corner. Click + Start from Scratch. Click the app you'd like to base your trigger on in the Trigger section. Select your chosen trigger from the available options. Note: These options will differ depending on the app you selected in step 1. Click the Limit frequency to drop-down to set trigger frequency: Don't limit (trigger every time): Your action will take place every time it is triggered by a visitor. Once per contact: Your action will take place only once per contact. Once per contact every 24hrs: Your action will take place only once per contact in any 24hr period. Click your chosen action in the Action section. Note: The actions available will differ based on your trigger choice. Set up the action using the available options. Click Edit in the Sender details section to edit your sender details: From name: This is the name that appears in the recipient's inbox. Reply-to email: This is the address that replies are sent to. Scroll down to the Create an email section and choose what you want to do: Click Edit to update the default template generated by this automation. Click the More Actions drop-down and select Switch template to use an email template from a different automation or email marketing campaign. Click Activate to save and activate the automation. It now appears on your Automations page where you can edit, deactivate or delete according to your needs.",f3dbc14fb416feb03a8bcf6c1712d81cda4c6febe412e6acdfd8f471ed79adf8;8fd246f6ccd03e386abc914642c48d78e1e434c6895b6e98f7c690eb18f3a5a1;0dc521e6f3cba224285bf32a1a21752313474992f3be4ac874a7b93ca2f7dda6
q_00030,I need to switch my business type from sole prop to LLC in order to use an EIN.,"Once you've set up your Wix Payments account, it is not possible to change your account type from individual / sole proprietorship to partnership / LLC / Corporation / NGO, or vice versa, within your Wix Payments account. If you are looking to switch from an individual to a business Wix Payments account, our Customer Care team can do it for you. Please check that you have all the necessary documents to verify your business Wix Payments account and contact Customer Care.",11e6ff65a8bb2f65b29f9d2726561da8f5de81543fe3000fe40668f383c88489
q_00031,I need to temporarily remove the quick action button from the mobile view as I have not set it up yet.,"When you remove a Quick Action Bar, it removes the details you entered for each action. If you re-add the Quick Action Bar, you need to manually enter the relevant information again. To remove The Quick Action Bar you’ll need to right-click it while inside the mobile Editor then select Delete. This will remove it from the mobile site.",bce5e3d829fe6eebd5fb2585b008cac096b48072d7cc5971ff31e72941fef5ae
q_00032,I need to track the status of chargeback #1124381935-1.,"To track the status of a given chargeback, you need to access your Wix Payments dashboard. Once there, you can monitor the status of your chargeback by looking for the relevant payment. The possible statuses include 'Action needed', 'Expires in X days', 'Expired', 'Final', 'Accepted', 'Disputed', 'Lost', and 'Won'.",a4bf9c1cccd5e7ae04d0fc890eaff145b933ab55a52c6cead06a9cd4caa8b6da
q_00033,I need to update the og:image for my entire site to ensure the correct image appears when the link is posted on social media. I also want to know if this will affect the image when the link is posted in an email or on Instagram.,"To update the og:image for your entire site, you can follow these steps: 1. Open your site's settings in the Wix Editor. 2. Click on 'Website settings'. 3. Scroll down to 'General social image' and click 'Upload Image'. 4. Select an image or upload a new one, then click 'Choose File' to add it. 5. Click 'Save' at the top of the dashboard and publish your site. This will ensure the correct image appears when your site link is shared on social media platforms like Facebook and Twitter or other social networks.",7a2109a7643cefe52eaad4779d868dd6fc845b8ab32bc8f131c4c63d53cb7456
